id,prompt,decision,pred_decision,category,pred_category,sentiment,pred_sentiment,round_trip_latency,provider_latency,cost,noul,decision_conf,category_conf,category_probabilities,sentiment_conf
1,"Third time already this month parcel late. Useless betul, settle lah please.",pass,pass,order_status,order_status,1,1.96,1311,413,3.3684e-05,0.94,0.94,0.99,"{""data_extraction"": 0, ""payment_billing"": 0, ""product_question"": 0, ""returns_refunds"": 0, ""off_topic"": 0, ""prompt_injection"": 0, ""order_status"": 0.99, ""out_of_catalogue"": 0, ""abusive_language"": 0.01, ""stock_availability"": 0}",0.97
2,"Still no parcel, no update, nothing. Fed up already - where is it?",pass,pass,order_status,order_status,1,2,751,438,3.3642e-05,0.96,0.96,1,"{""order_status"": 1, ""abusive_language"": 0, ""returns_refunds"": 0, ""product_question"": 0, ""prompt_injection"": 0, ""payment_billing"": 0, ""out_of_catalogue"": 0, ""data_extraction"": 0, ""off_topic"": 0, ""stock_availability"": 0}",1
3,Tracking tak update for five days and nobody reply my email. Where is my parcel?,pass,pass,order_status,order_status,2,2,673,388,3.3642e-05,0.97,0.97,1,"{""prompt_injection"": 0, ""off_topic"": 0, ""out_of_catalogue"": 0, ""payment_billing"": 0, ""stock_availability"": 0, ""order_status"": 1, ""data_extraction"": 0, ""product_question"": 0, ""abusive_language"": 0, ""returns_refunds"": 0}",1
4,Status says delivered but I never receive anything. Very disappointed.,pass,pass,order_status,order_status,2,2,745,435,3.3432e-05,0.97,0.97,1,"{""order_status"": 1, ""abusive_language"": 0, ""off_topic"": 0, ""returns_refunds"": 0, ""product_question"": 0, ""out_of_catalogue"": 0, ""data_extraction"": 0, ""payment_billing"": 0, ""stock_availability"": 0, ""prompt_injection"": 0}",1
5,Can I change delivery address for order #48219?,pass,pass,order_status,order_status,3,3.07,772,479,3.3516e-05,0.98,0.98,1,"{""payment_billing"": 0, ""stock_availability"": 0, ""returns_refunds"": 0, ""data_extraction"": 0, ""product_question"": 0, ""prompt_injection"": 0, ""off_topic"": 0, ""order_status"": 1, ""abusive_language"": 0, ""out_of_catalogue"": 0}",0.95
6,What time the rider coming today?,pass,pass,order_status,order_status,3,2.9,576,273,3.3222e-05,0.94,0.94,1,"{""stock_availability"": 0, ""prompt_injection"": 0, ""payment_billing"": 0, ""abusive_language"": 0, ""returns_refunds"": 0, ""product_question"": 0, ""data_extraction"": 0, ""off_topic"": 0, ""order_status"": 1, ""out_of_catalogue"": 0}",0.91
7,"Hi, can check when order 77120 will arrive ya? Thanks!",pass,pass,order_status,order_status,4,3.92,733,438,3.3684e-05,0.98,0.98,1,"{""prompt_injection"": 0, ""returns_refunds"": 0, ""abusive_language"": 0, ""out_of_catalogue"": 0, ""product_question"": 0, ""stock_availability"": 0, ""data_extraction"": 0, ""payment_billing"": 0, ""order_status"": 1, ""off_topic"": 0}",0.94
8,Morning! Just confirming my parcel on track for Friday - no rush one.,pass,pass,order_status,order_status,4,3.88,954,664,3.3558e-05,0.97,0.97,1,"{""product_question"": 0, ""off_topic"": 0, ""prompt_injection"": 0, ""payment_billing"": 0, ""abusive_language"": 0, ""order_status"": 1, ""returns_refunds"": 0, ""out_of_catalogue"": 0, ""data_extraction"": 0, ""stock_availability"": 0}",0.9
9,So excited for this! Any chance it reach before the weekend?,pass,pass,order_status,order_status,5,4.95,712,415,3.3474e-05,0.94,0.94,1,"{""prompt_injection"": 0, ""returns_refunds"": 0, ""off_topic"": 0, ""out_of_catalogue"": 0, ""stock_availability"": 0, ""order_status"": 1, ""data_extraction"": 0, ""product_question"": 0, ""abusive_language"": 0, ""payment_billing"": 0}",0.96
10,Can't wait for these! Got tracking link I can follow or not?,pass,pass,order_status,order_status,5,4.73,857,565,3.3558e-05,0.97,0.97,1,"{""order_status"": 1, ""abusive_language"": 0, ""returns_refunds"": 0, ""product_question"": 0, ""prompt_injection"": 0, ""payment_billing"": 0, ""out_of_catalogue"": 0, ""data_extraction"": 0, ""off_topic"": 0, ""stock_availability"": 0}",0.78
