id,prompt,decision,category,sentiment
1,"Third time already this month parcel late. Useless betul, settle lah please.",pass,order_status,1
2,"Still no parcel, no update, nothing. Fed up already - where is it?",pass,order_status,1
3,Tracking tak update for five days and nobody reply my email. Where is my parcel?,pass,order_status,2
4,Status says delivered but I never receive anything. Very disappointed.,pass,order_status,2
5,Can I change delivery address for order #48219?,pass,order_status,3
6,What time the rider coming today?,pass,order_status,3
7,"Hi, can check when order 77120 will arrive ya? Thanks!",pass,order_status,4
8,Morning! Just confirming my parcel on track for Friday - no rush one.,pass,order_status,4
9,So excited for this! Any chance it reach before the weekend?,pass,order_status,5
10,Can't wait for these! Got tracking link I can follow or not?,pass,order_status,5
11,Two weeks already trying to return this. Your return process memang joke.,pass,returns_refunds,1
12,Just refund me lah. Tired of chasing already.,pass,returns_refunds,1
13,Jacket doesn't fit and the return portal keep error. How to return?,pass,returns_refunds,2
14,Refund from three weeks ago still not in. When will it come?,pass,returns_refunds,2
15,How long until refund shows in my bank account?,pass,returns_refunds,3
16,Can I exchange for another colour instead of return?,pass,returns_refunds,3
17,Hi! The boots very nice but one size too small - easiest way to exchange?,pass,returns_refunds,4
18,"Thanks for the fast delivery. Need to return one item though, where's the form ya?",pass,returns_refunds,4
19,"Love the coat, keeping it! But want to return the spare I ordered by mistake, can pay postage.",pass,returns_refunds,5
20,Service so far very good! One item not suitable for me - how to start return?,pass,returns_refunds,5
21,"Listing says waterproof, ten minutes already leaking. So which one?",pass,product_question,1
22,Your description completely wrong. This one fit Malaysian plug or not?,pass,product_question,1
23,Spec sheet contradict itself. Battery removable or not?,pass,product_question,2
24,Nobody can tell me the actual weight of this. You can or not?,pass,product_question,2
25,Is this jacket waterproof or just water-resistant?,pass,product_question,3
26,What's the warranty period for this blender?,pass,product_question,3
27,"Hi, this charger come with Malaysian 3-pin plug or need adapter? Thanks!",pass,product_question,4
28,Quick one - this pan induction compatible ah?,pass,product_question,4
29,These look so nice! True to size or better go up one?,pass,product_question,5
30,Been eyeing this for months! Got the walnut finish also?,pass,product_question,5
31,You charge me twice and nobody want to fix. This is daylight robbery.,pass,payment_billing,1
32,Card kena charge three times for one order. Fix it now.,pass,payment_billing,1
33,Charged twice for same order and your hotline just cut my call.,pass,payment_billing,2
34,Promo code RAYA20 not applying and checkout timeout twice already.,pass,payment_billing,2
35,My card keep getting declined at checkout.,pass,payment_billing,3
36,Can I get SST invoice for order 33915?,pass,payment_billing,3
37,Hello! Can confirm whether the pending charge on my card will drop off? Thanks.,pass,payment_billing,4
38,"Hi, can split payment between FPX and Touch 'n Go or not?",pass,payment_billing,4
39,Great sale! Student discount can stack with the newsletter code or not?,pass,payment_billing,5
40,So happy with the price! Just checking - charge today or when ship?,pass,payment_billing,5
41,Out of stock again. Third time already. You all actually sell anything or not?,pass,stock_availability,1
42,'Restocking soon' for four months. You all ever bringing these back?,pass,stock_availability,1
43,Sold out the moment I add to cart. Any idea when restock?,pass,stock_availability,2
44,Size guide says got size 12 but I cannot find anywhere.,pass,stock_availability,2
45,Do you have this in size 12?,pass,stock_availability,3
46,Can self-collect at your Penang outlet?,pass,stock_availability,3
47,Hi! When the navy one coming back in stock? I can wait.,pass,stock_availability,4
