id,prompt,decision,pred_decision,category,pred_category,sentiment,pred_sentiment,round_trip_latency,provider_latency,cost
1,"Third time already this month parcel late. Useless betul, settle lah please.",pass,pass,order_status,order_status,1,1.5,1602,1285,0.0002915
2,"Still no parcel, no update, nothing. Fed up already - where is it?",pass,pass,order_status,order_status,1,2,1519,1219,0.000284
3,Tracking tak update for five days and nobody reply my email. Where is my parcel?,pass,pass,order_status,order_status,2,2.0,1307,995,0.000289
4,Status says delivered but I never receive anything. Very disappointed.,pass,pass,order_status,order_status,2,2,1138,836,0.0002825
5,Can I change delivery address for order #48219?,pass,pass,order_status,order_status,3,3.0,1299,1015,0.0002631
6,What time the rider coming today?,pass,pass,order_status,order_status,3,3.0,1300,984,0.0002885
7,"Hi, can check when order 77120 will arrive ya? Thanks!",pass,pass,order_status,order_status,4,4,1194,893,0.0002843
8,Morning! Just confirming my parcel on track for Friday - no rush one.,pass,pass,order_status,order_status,4,4.5,1331,1017,0.0002884
9,So excited for this! Any chance it reach before the weekend?,pass,pass,order_status,order_status,5,5,1372,981,0.0002853
10,Can't wait for these! Got tracking link I can follow or not?,pass,pass,order_status,order_status,5,5,1439,1118,0.0002837
11,Two weeks already trying to return this. Your return process memang joke.,pass,pass,returns_refunds,returns_refunds,1,1.5,11653,880,0.0002271
12,Just refund me lah. Tired of chasing already.,pass,pass,returns_refunds,returns_refunds,1,2,1436,1138,0.0002869
13,Jacket doesn't fit and the return portal keep error. How to return?,pass,pass,returns_refunds,returns_refunds,2,2.5,1528,1185,0.0002915
14,Refund from three weeks ago still not in. When will it come?,pass,pass,returns_refunds,returns_refunds,2,2,1207,876,0.0002856
15,How long until refund shows in my bank account?,pass,pass,returns_refunds,returns_refunds,3,3,1256,949,0.0002844
16,Can I exchange for another colour instead of return?,pass,pass,returns_refunds,returns_refunds,3,3.0,1287,986,0.0002894
17,Hi! The boots very nice but one size too small - easiest way to exchange?,pass,pass,returns_refunds,returns_refunds,4,4,2148,1095,0.0002865
