id,prompt,decision,pred_decision,category,pred_category,sentiment,pred_sentiment,round_trip_latency,provider_latency,cost
1,"Third time already this month parcel late. Useless betul, settle lah please.",pass,pass,order_status,order_status,1,2,3197,2910,0.0001814
2,"Still no parcel, no update, nothing. Fed up already - where is it?",pass,pass,order_status,order_status,1,2,1449,1138,0.0001344
3,Tracking tak update for five days and nobody reply my email. Where is my parcel?,pass,pass,order_status,order_status,2,2.0,1753,1444,0.0001368
4,Status says delivered but I never receive anything. Very disappointed.,pass,pass,order_status,order_status,2,2,1960,1647,0.0001334
5,Can I change delivery address for order #48219?,pass,pass,order_status,order_status,3,3,1652,1360,0.0001332
6,What time the rider coming today?,pass,pass,order_status,order_status,3,3,1437,1149,0.0001324
7,"Hi, can check when order 77120 will arrive ya? Thanks!",pass,pass,order_status,order_status,4,4,1624,1288,0.000134
8,Morning! Just confirming my parcel on track for Friday - no rush one.,pass,pass,order_status,order_status,4,4,3396,3067,0.000194
9,So excited for this! Any chance it reach before the weekend?,pass,pass,order_status,order_status,5,5,2918,2621,0.0002128
10,Can't wait for these! Got tracking link I can follow or not?,pass,pass,order_status,order_status,5,5,1589,1301,0.0001338
11,Two weeks already trying to return this. Your return process memang joke.,pass,pass,returns_refunds,returns_refunds,1,2,2933,2620,0.0001818
12,Just refund me lah. Tired of chasing already.,pass,pass,returns_refunds,returns_refunds,1,2,3861,3574,0.0001872
13,Jacket doesn't fit and the return portal keep error. How to return?,pass,pass,returns_refunds,returns_refunds,2,3,1576,1289,0.0001352
14,Refund from three weeks ago still not in. When will it come?,pass,pass,returns_refunds,returns_refunds,2,2,1421,1111,0.000135
15,How long until refund shows in my bank account?,pass,pass,returns_refunds,returns_refunds,3,3,2934,1574,0.0001342
16,Can I exchange for another colour instead of return?,pass,pass,returns_refunds,returns_refunds,3,3,4284,3985,0.000187
17,Hi! The boots very nice but one size too small - easiest way to exchange?,pass,pass,returns_refunds,returns_refunds,4,4,1584,1282,0.0001356
18,"Thanks for the fast delivery. Need to return one item though, where's the form ya?",pass,pass,returns_refunds,returns_refunds,4,4,1463,1152,0.000136
19,"Love the coat, keeping it! But want to return the spare I ordered by mistake, can pay postage.",pass,pass,returns_refunds,returns_refunds,5,4,3270,2952,0.0002038
20,Service so far very good! One item not suitable for me - how to start return?,pass,pass,returns_refunds,returns_refunds,5,4,1570,1250,0.0001358
21,"Listing says waterproof, ten minutes already leaking. So which one?",pass,pass,product_question,product_question,1,2,1360,1077,0.0001336
22,Your description completely wrong. This one fit Malaysian plug or not?,pass,pass,product_question,product_question,1,2,1506,1215,0.0001336
23,Spec sheet contradict itself. Battery removable or not?,pass,pass,product_question,product_question,2,3,1607,1320,0.000133
24,Nobody can tell me the actual weight of this. You can or not?,pass,pass,product_question,product_question,2,2,2354,2053,0.0001652
25,Is this jacket waterproof or just water-resistant?,pass,pass,product_question,product_question,3,3,1708,1419,0.0001328
